harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_25
-29.78137656216505,-33.315678558341624,-33.25636444960846,-41.78778860550893,-35.21102145198206,-30.298905577550958,-46.93376964717448,-50.88348058969487,-41.85985275142754,-53.4200619731769,-64.6633689029526,-55.58136091693839,-56.41612740961467,-64.53668355142496,-65.75503562922871,-68.0395931937613,-68.84430358392059,-75.92464072271706,-65.13993890635365,-62.6139860718988,-69.3566760257061,-71.86866841541861,-77.43618560298837,-67.57395159366212,-79.14435151171831
-26.06784216380021,-32.998525332986524,-48.17016489134676,-36.26844216486375,-35.16314973427649,-43.58483522917343,-58.29146745225378,-46.768194074511506,-69.79422564489361,-54.73704681040761,-59.01950453632766,-50.199573353540934,-58.941780806747516,-60.33048635136902,-61.53046118380665,-61.34809742628382,-70.08757888251914,-71.37432541957564,-74.0970065331836,-73.816288485598,-86.02855540307029,-73.00040935540954,-69.47833041389727,-73.83698924130967,-85.97872735076356
-34.23515917777333,-43.64773447809988,-28.617218919543262,-37.81860972634011,-55.74374791612955,-47.98333484628732,-59.92862017719082,-57.28152261330968,-59.638966807506364,-58.362616934746036,-72.75502551184057,-75.02972020989367,-62.75034788994578,-71.25762073013452,-81.10982357961124,-89.94873626676329,,,,,,,,,
-27.78796419558907,-39.53647842132444,-34.4292058272302,-45.12844807735297,-43.92230198479794,-52.20211871331624,-41.80670563743504,-46.45016074968312,-53.101818728966656,-37.689196132506005,-53.51200472802091,-50.51741753123502,-38.76783994309166,-56.12480102560048,-62.432117434448664,-58.78702846846671,-62.97037822292504,-75.81995955658617,-68.83658680466651,-81.48384965682995,-63.68915520235329,-71.72372394581375,-75.64026039927779,-82.81599733752047,-80.9708400534293
-21.971980178648646,-39.835206009193065,-32.053900208556584,-39.10600788785713,-43.75324219834327,-48.78963626908527,-44.06971548910726,-58.52522445693344,-46.15788576529785,-52.77293799737834,-55.60441532893633,-67.39223322389905,-65.3002028959647,-66.53589777285976,-75.73946841937308,-81.85677275719422,-70.21213679586863,,-81.45459262849859,,,,,,
-45.75324352468953,-49.39748404025101,-49.94299298714528,-50.69829276442369,-54.863664990862894,-59.362168456561314,-64.7689470795245,-62.1015392608445,-77.11883119934718,-67.05327231446819,-80.24623574321244,-67.21931328997078,-78.73530634399577,-75.06392108623511,,-82.17088454698956,-88.44151358966349,,,,,,,,
-38.21687242959081,-47.005514858934745,-48.100062840481534,-43.91490709172917,-69.56277708550171,-51.83563279648231,-53.43766795022208,-60.102980606884586,-74.86605696209296,-77.43229647965745,-70.04945363631178,-79.27189588031877,-89.44358948900998,-79.13806154148747,-83.51268612086227,-85.0415938539961,-84.34788417969406,-86.71706865533059,-88.39335615756069,,-87.03510608999594,,,,
-24.263830901140828,-36.876830067142826,-35.499123248060585,-34.26784383705055,-48.962100458532234,-52.632193497197854,-48.86086938223089,-62.284183998707434,-65.69483820873285,-65.41305108199771,-57.57809436697703,-74.03816211434679,-82.15332022433245,-76.89813893068452,-70.43714795813365,-75.06049759413771,-68.92965770471972,-79.96114000376157,-72.15524804869023,-75.94988586823146,,,,,
-24.69627117093651,-56.01033858197812,-48.57931385076639,-40.6114257267796,-42.32332756164762,-61.49985843534929,-57.31761104075171,-67.27214706543987,-61.90519832146428,-77.09808364083868,-87.70665830679627,-79.99050764477977,-82.43800078723082,-81.23082023801553,-88.60694079888675,-81.28357706912566,,-83.47908479161676,-82.42214659218972,-82.7439874747812,,,-83.96743958006483,,-88.54868494411446
-29.429917423248366,-45.65806225496765,-48.1511377308362,-58.65033547707448,-63.13253678041587,-68.71079926070213,-59.94188538770773,-71.37091321255295,-65.8341814775559,-78.06655398002982,-70.16925512465598,-84.34455787493017,-69.8044049512621,-83.92428904314309,-80.62533828895181,-86.48858516013964,-85.77284959186288,,-89.241472602806,,,,,,
